page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  26    78 image      39    22  rgb     3   8  image  no      4606  0   116   116  230B 8.9%
  26    79 image     219   107  rgb     3   8  image  no      4607  0   116   116 18.0K  26%
  27    80 image     219   107  rgb     3   8  image  no      4608  0   116   116 18.0K  26%
  27    81 image     483    22  rgb     3   8  image  no      4609  0   116   116 1560B 4.9%
  27    82 image     502    23  rgb     3   8  image  no      4610  0   116   116 1852B 5.3%
  27    83 image     575    48  rgb     3   8  image  no      4611  0   116   116 2737B 3.3%
  28    84 image     579    52  rgb     3   8  image  no      4612  0   116   116 3194B 3.5%
  28    85 image     108    20  rgb     3   8  image  no      4613  0   116   116  461B 7.1%
  28    86 image     108    23  rgb     3   8  image  no      4614  0   116   116  491B 6.6%
  28    87 image     110    21  rgb     3   8  image  no      4615  0   116   116  478B 6.9%
  28    88 image     104    22  rgb     3   8  image  no      4616  0   116   116  489B 7.1%
  31    89 image      74    22  rgb     3   8  image  no      4617  0   116   116  249B 5.1%
  31    90 image      74    22  rgb     3   8  image  no      4617  0   116   116  249B 5.1%
  31    91 image      75    23  rgb     3   8  image  no      4618  0   116   116  288B 5.6%
  31    92 image      75    23  rgb     3   8  image  no      4618  0   116   116  288B 5.6%
  31    93 image      77    25  rgb     3   8  image  no      4619  0   116   116  361B 6.3%
  31    94 image      77    25  rgb     3   8  image  no      4619  0   116   116  361B 6.3%
  31    95 image      75    22  rgb     3   8  image  no      4620  0   116   116  339B 6.8%
  31    96 image      75    22  rgb     3   8  image  no      4620  0   116   116  339B 6.8%
  32    97 image      42    18  rgb     3   8  image  no      4621  0   116   116  229B  10%
  33    98 image      45    19  rgb     3   8  image  no      4622  0   116   116  204B 8.0%
  33    99 image      42    17  rgb     3   8  image  no      4623  0   116   116  219B  10%
  33   100 image      53    19  rgb     3   8  image  no      4624  0   116   116  249B 8.2%
  34   101 image     587    42  rgb     3   8  image  no      4627  0   116   116 2654B 3.6%
